source_pack_id,source_pack_name,contrast_type,row_count,current_machine_translated_rows,current_clinically_reviewed_rows,workspace_file,status
drill_pack_11,Fricative Place: /s/ vs /ʃ/ Initial,Fricative,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_11_review.csv,pending_clinical_review
drill_pack_12,Fricative Place: /s/ vs /ʃ/ Final,Fricative,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_12_review.csv,pending_clinical_review
drill_pack_13,Liquid Contrasts: /l/ vs /r/ Initial,Liquid,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_13_review.csv,pending_clinical_review
drill_pack_14,Liquid Contrasts: /l/ vs /r/ Final,Liquid,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_14_review.csv,pending_clinical_review
drill_pack_15,Nasal Place: /m/ vs /n/ Initial,Nasal,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_15_review.csv,pending_clinical_review
drill_pack_16,Nasal Place: /m/ vs /n/ Final,Nasal,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_16_review.csv,pending_clinical_review
drill_pack_17,Stop Manner: /b/ vs /v/ Initial,Consonant Manner,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_17_review.csv,pending_clinical_review
drill_pack_18,Vowel Height Front: /ɪ/ vs /iː/ Medial,Vowel Height,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_18_review.csv,pending_clinical_review
drill_pack_22,Affricate/Fricative: /dʒ/ vs /ʒ/ Mixed,Affricate,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_22_review.csv,pending_clinical_review
drill_pack_23,Voicing Clusters: Initial,Cluster,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_23_review.csv,pending_clinical_review
drill_pack_24,Final Consonant Awareness: /t/ vs null Final,Consonant Manner,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_24_review.csv,pending_clinical_review
drill_pack_25,Mixed Review: Hardest Pairs,Fricative,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/drill_pack_25_review.csv,pending_clinical_review
pack_e_vs_ae,Vowels: /E/ vs /ae/,height,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/pack_e_vs_ae_review.csv,pending_clinical_review
pack_f_vs_v,Voicing: /f/ vs /v/,voicing,20,19,1,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/pack_f_vs_v_review.csv,pending_clinical_review
pack_i_vs_I,Vowels: /i/ vs /I/,tenseness,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/pack_i_vs_I_review.csv,pending_clinical_review
pack_k_vs_g,Voicing: /k/ vs /g/,voicing,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/pack_k_vs_g_review.csv,pending_clinical_review
pack_p_vs_b,Voicing: /p/ vs /b/,voicing,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/pack_p_vs_b_review.csv,pending_clinical_review
pack_s_vs_sh,Sibilants: /s/ vs /ʃ/,place,20,20,0,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/pack_s_vs_sh_review.csv,pending_clinical_review
pack_t_vs_d,Voicing: /t/ vs /d/,voicing,20,19,1,/private/tmp/main-sync/content/spanish_templates_1x/drill_review_workspaces/pack_t_vs_d_review.csv,pending_clinical_review
